"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008","Italy","Total","Percentage of total population","Total","3.7",""
"2008","Italy","Total","Percentage of active population","Total","6.7",""
"2008","Cyprus","Total","Percentage of total population","Total","2.5",""
"2008","Cyprus","Total","Percentage of active population","Total","3.7",""
"2008","Latvia","Total","Percentage of total population","Total","5.2",""
"2008","Latvia","Total","Percentage of active population","Total","7.7",""
"2008","Lithuania","Total","Percentage of total population","Total","3.6",""
"2008","Lithuania","Total","Percentage of active population","Total","5.8",""
"2008","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2008","Luxembourg","Total","Percentage of active population","Total","4.9",""
"2008","Hungary","Total","Percentage of total population","Total","4.2","i"
"2008","Hungary","Total","Percentage of active population","Total","7.8","i"
"2008","Malta","Total","Percentage of total population","Total","3.2",""
"2008","Malta","Total","Percentage of active population","Total","6.0",""
"2008","Netherlands","Total","Percentage of total population","Total","2.0",""
"2008","Netherlands","Total","Percentage of active population","Total","3.7",""
"2008","Austria","Total","Percentage of total population","Total","2.7",""
"2008","Austria","Total","Percentage of active population","Total","4.1",""
"2008","Poland","Total","Percentage of total population","Total","4.1",""
"2008","Poland","Total","Percentage of active population","Total","7.1",""
"2008","Portugal","Total","Percentage of total population","Total","5.7",""
"2008","Portugal","Total","Percentage of active population","Total","8.8",""
"2008","Romania","Total","Percentage of total population","Total","3.4",""
"2008","Romania","Total","Percentage of active population","Total","5.6",""
"2008","Slovenia","Total","Percentage of total population","Total","2.8",""
"2008","Slovenia","Total","Percentage of active population","Total","4.4",""
"2008","Slovakia","Total","Percentage of total population","Total","6.0",""
"2008","Slovakia","Total","Percentage of active population","Total","9.6",""
"2008","Finland","Total","Percentage of total population","Total","4.3",""
"2008","Finland","Total","Percentage of active population","Total","6.4",""
"2008","Sweden","Total","Percentage of total population","Total","4.4",""
"2008","Sweden","Total","Percentage of active population","Total","6.2",""
"2008","United Kingdom","Total","Percentage of total population","Total","3.9",""
"2008","United Kingdom","Total","Percentage of active population","Total","5.6",""
"2008","Norway","Total","Percentage of total population","Total","1.9",""
"2008","Norway","Total","Percentage of active population","Total","2.5",""
"2009","Belgium","Total","Percentage of total population","Total","4.7",""
"2009","Belgium","Total","Percentage of active population","Total","7.9",""
"2009","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2009","Bulgaria","Total","Percentage of active population","Total","6.8",""
"2009","Czech Republic","Total","Percentage of total population","Total","4.2",""
"2009","Czech Republic","Total","Percentage of active population","Total","6.7",""
"2009","Denmark","Total","Percentage of total population","Total","4.3",""
"2009","Denmark","Total","Percentage of active population","Total","6.0",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.1",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.6",""
"2009","Estonia","Total","Percentage of total population","Total","9.0",""
"2009","Estonia","Total","Percentage of active population","Total","13.5",""
"2009","Ireland","Total","Percentage of total population","Total","7.9",""
"2009","Ireland","Total","Percentage of active population","Total","12.0",""
"2009","Greece","Total","Percentage of total population","Total","5.7",""
"2009","Greece","Total","Percentage of active population","Total","9.6",""
"2009","Spain","Total","Percentage of total population","Total","11.7",""
"2009","Spain","Total","Percentage of active population","Total","17.9",""
"2009","France","Total","Percentage of total population","Total","5.5",""
"2009","France","Total","Percentage of active population","Total","9.1",""
"2009","Croatia","Total","Percentage of total population","Total","5.4",""
"2009","Croatia","Total","Percentage of active population","Total","9.2",""
"2009","Italy","Total","Percentage of total population","Total","4.2",""
"2009","Italy","Total","Percentage of active population","Total","7.7",""
"2009","Cyprus","Total","Percentage of total population","Total","3.6",""
"2009","Cyprus","Total","Percentage of active population","Total","5.4",""
"2009","Latvia","Total","Percentage of total population","Total","11.5",""
"2009","Latvia","Total","Percentage of active population","Total","17.5",""
"2009","Lithuania","Total","Percentage of total population","Total","8.6",""
"2009","Lithuania","Total","Percentage of active population","Total","13.8",""
"2009","Luxembourg","Total","Percentage of total population","Total","3.1",""
"2009","Luxembourg","Total","Percentage of active population","Total","5.1",""
"2009","Hungary","Total","Percentage of total population","Total","5.4",""
"2009","Hungary","Total","Percentage of active population","Total","10.0",""
"2009","Malta","Total","Percentage of total population","Total","3.7",""
"2009","Malta","Total","Percentage of active population","Total","6.9",""
"2009","Netherlands","Total","Percentage of total population","Total","2.5",""
"2009","Netherlands","Total","Percentage of active population","Total","4.4",""
"2009","Austria","Total","Percentage of total population","Total","3.5",""
"2009","Austria","Total","Percentage of active population","Total","5.3",""
"2009","Poland","Total","Percentage of total population","Total","4.8","i"
"2009","Poland","Total","Percentage of active population","Total","8.1","i"
"2009","Portugal","Total","Percentage of total population","Total","7.0",""
"2009","Portugal","Total","Percentage of active population","Total","10.7",""
"2009","Romania","Total","Percentage of total population","Total","4.0",""
"2009","Romania","Total","Percentage of active population","Total","6.5",""
"2009","Slovenia","Total","Percentage of total population","Total","3.8",""
"2009","Slovenia","Total","Percentage of active population","Total","5.9",""
"2009","Slovakia","Total","Percentage of total population","Total","7.6",""
"2009","Slovakia","Total","Percentage of active population","Total","12.1",""
"2009","Finland","Total","Percentage of total population","Total","5.5",""
"2009","Finland","Total","Percentage of active population","Total","8.2",""
"2009","Sweden","Total","Percentage of total population","Total","5.9",""
"2009","Sweden","Total","Percentage of active population","Total","8.3",""
"2009","United Kingdom","Total","Percentage of total population","Total","5.2",""
"2009","United Kingdom","Total","Percentage of active population","Total","7.6",""
"2009","Norway","Total","Percentage of total population","Total","2.3",""
"2009","Norway","Total","Percentage of active population","Total","3.2",""
"2010","Belgium","Total","Percentage of total population","Total","5.0",""
"2010","Belgium","Total","Percentage of active population","Total","8.3",""
"2010","Bulgaria","Total","Percentage of total population","Total","6.0","i"
"2010","Bulgaria","Total","Percentage of active population","Total","10.3","i"
"2010","Czech Republic","Total","Percentage of total population","Total","4.6",""
"2010","Czech Republic","Total","Percentage of active population","Total","7.3",""
"2010","Denmark","Total","Percentage of total population","Total","5.3",""
"2010","Denmark","Total","Percentage of active population","Total","7.5",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","4.6",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.0",""
"2010","Estonia","Total","Percentage of total population","Total","11.1",""
"2010","Estonia","Total","Percentage of active population","Total","16.7",""
"2010","Ireland","Total","Percentage of total population","Total","9.0",""
"2010","Ireland","Total","Percentage of active population","Total","13.9",""
"2010","Greece","Total","Percentage of total population","Total","7.6",""
"2010","Greece","Total","Percentage of active population","Total","12.7",""
"2010","Spain","Total","Percentage of total population","Total","13.1",""
"2010","Spain","Total","Percentage of active population","Total","19.9",""
"2010","France","Total","Percentage of total population","Total","5.6",""
"2010","France","Total","Percentage of active population","Total","9.3",""
"2010","Croatia","Total","Percentage of total population","Total","6.7",""
"2010","Croatia","Total","Percentage of active population","Total","11.7",""
"2010","Italy","Total","Percentage of total population","Total","4.6",""
"2010","Italy","Total","Percentage of active population","Total","8.4",""
"2010","Cyprus","Total","Percentage of total population","Total","4.3",""
"2010","Cyprus","Total","Percentage of active population","Total","6.3",""
"2010","Latvia","Total","Percentage of total population","Total","12.6",""
"2010","Latvia","Total","Percentage of active population","Total","19.5",""
"2010","Lithuania","Total","Percentage of total population","Total","11.1",""
"2010","Lithuania","Total","Percentage of active population","Total","17.8",""
"2010","Luxembourg","Total","Percentage of total population","Total","2.7",""
"2010","Luxembourg","Total","Percentage of active population","Total","4.6",""
"2010","Hungary","Total","Percentage of total population","Total","6.1",""
"2010","Hungary","Total","Percentage of active population","Total","11.2",""
"2010","Malta","Total","Percentage of total population","Total","3.7",""
"2010","Malta","Total","Percentage of active population","Total","6.9",""
"2010","Netherlands","Total","Percentage of total population","Total","3.1",""
"2010","Netherlands","Total","Percentage of active population","Total","5.0",""
"2010","Austria","Total","Percentage of total population","Total","3.2",""
"2010","Austria","Total","Percentage of active population","Total","4.8",""
"2010","Poland","Total","Percentage of total population","Total","5.8",""
"2010","Poland","Total","Percentage of active population","Total","9.7",""
"2010","Portugal","Total","Percentage of total population","Total","8.0",""
"2010","Portugal","Total","Percentage of active population","Total","12.0",""
"2010","Romania","Total","Percentage of total population","Total","4.2",""
"2010","Romania","Total","Percentage of active population","Total","7.0",""
"2010","Slovenia","Total","Percentage of total population","Total","4.7",""
"2010","Slovenia","Total","Percentage of active population","Total","7.3",""
"2010","Slovakia","Total","Percentage of total population","Total","9.1",""
"2010","Slovakia","Total","Percentage of active population","Total","14.5",""
"2010","Finland","Total","Percentage of total population","Total","5.6",""
"2010","Finland","Total","Percentage of active population","Total","8.4",""
"2010","Sweden","Total","Percentage of total population","Total","6.1",""
"2010","Sweden","Total","Percentage of active population","Total","8.6",""
"2010","United Kingdom","Total","Percentage of total population","Total","5.3",""
"2010","United Kingdom","Total","Percentage of active population","Total","7.8",""
"2010","Norway","Total","Percentage of total population","Total","2.5",""
"2010","Norway","Total","Percentage of active population","Total","3.6",""
"2011","Belgium","Total","Percentage of total population","Total","4.2",""
"2011","Belgium","Total","Percentage of active population","Total","7.2",""
"2011","Bulgaria","Total","Percentage of total population","Total","6.5",""
"2011","Bulgaria","Total","Percentage of active population","Total","11.3",""
"2011","Czech Republic","Total","Percentage of total population","Total","4.2",""
"2011","Czech Republic","Total","Percentage of active population","Total","6.7",""
"2011","Denmark","Total","Percentage of total population","Total","5.3",""
"2011","Denmark","Total","Percentage of active population","Total","7.6",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.9",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.8",""
"2011","Estonia","Total","Percentage of total population","Total","8.3",""
"2011","Estonia","Total","Percentage of active population","Total","12.3",""
"2011","Ireland","Total","Percentage of total population","Total","9.4",""
"2011","Ireland","Total","Percentage of active population","Total","14.7",""
"2011","Greece","Total","Percentage of total population","Total","10.6",""
"2011","Greece","Total","Percentage of active population","Total","17.9",""
"2011","Spain","Total","Percentage of total population","Total","14.2",""
"2011","Spain","Total","Percentage of active population","Total","21.4",""
"2011","France","Total","Percentage of total population","Total","5.5",""
"2011","France","Total","Percentage of active population","Total","9.2",""
"2011","Croatia","Total","Percentage of total population","Total","7.8",""
"2011","Croatia","Total","Percentage of active population","Total","13.7",""
"2011","Italy","Total","Percentage of total population","Total","4.6",""
"2011","Italy","Total","Percentage of active population","Total","8.4",""
"2011","Cyprus","Total","Percentage of total population","Total","5.3",""
"2011","Cyprus","Total","Percentage of active population","Total","7.9",""
"2011","Latvia","Total","Percentage of total population","Total","10.4",""
"2011","Latvia","Total","Percentage of active population","Total","16.2",""
"2011","Lithuania","Total","Percentage of total population","Total","9.8",""
"2011","Lithuania","Total","Percentage of active population","Total","15.4",""
"2011","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2011","Luxembourg","Total","Percentage of active population","Total","4.8",""
"2011","Hungary","Total","Percentage of total population","Total","6.1",""
"2011","Hungary","Total","Percentage of active population","Total","11.0",""
"2011","Malta","Total","Percentage of total population","Total","3.5",""
"2011","Malta","Total","Percentage of active population","Total","6.4",""
"2011","Netherlands","Total","Percentage of total population","Total","3.5",""
"2011","Netherlands","Total","Percentage of active population","Total","5.0",""
"2011","Austria","Total","Percentage of total population","Total","3.0",""
"2011","Austria","Total","Percentage of active population","Total","4.6",""
"2011","Poland","Total","Percentage of total population","Total","5.8",""
"2011","Poland","Total","Percentage of active population","Total","9.7",""
"2011","Portugal","Total","Percentage of total population","Total","8.6",""
"2011","Portugal","Total","Percentage of active population","Total","12.9",""
"2011","Romania","Total","Percentage of total population","Total","4.2",""
"2011","Romania","Total","Percentage of active population","Total","7.2",""
"2011","Slovenia","Total","Percentage of total population","Total","5.2",""
"2011","Slovenia","Total","Percentage of active population","Total","8.2",""
"2011","Slovakia","Total","Percentage of total population","Total","8.6","i"
"2011","Slovakia","Total","Percentage of active population","Total","13.7","i"
"2011","Finland","Total","Percentage of total population","Total","5.2",""
"2011","Finland","Total","Percentage of active population","Total","7.8",""
"2011","Sweden","Total","Percentage of total population","Total","5.5",""
"2011","Sweden","Total","Percentage of active population","Total","7.8",""
"2011","United Kingdom","Total","Percentage of total population","Total","5.5",""
"2011","United Kingdom","Total","Percentage of active population","Total","8.1",""
"2011","Norway","Total","Percentage of total population","Total","2.3",""
"2011","Norway","Total","Percentage of active population","Total","3.3",""
"2012","Belgium","Total","Percentage of total population","Total","4.5",""
"2012","Belgium","Total","Percentage of active population","Total","7.6",""
"2012","Bulgaria","Total","Percentage of total population","Total","7.2",""
"2012","Bulgaria","Total","Percentage of active population","Total","12.3",""
"2012","Czech Republic","Total","Percentage of total population","Total","4.4",""
"2012","Czech Republic","Total","Percentage of active population","Total","7.0",""
"2012","Denmark","Total","Percentage of total population","Total","5.2",""
"2012","Denmark","Total","Percentage of active population","Total","7.5",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.6",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.4",""
"2012","Estonia","Total","Percentage of total population","Total","6.8",""
"2012","Estonia","Total","Percentage of active population","Total","10.0",""
"2012","Ireland","Total","Percentage of total population","Total","9.4",""
"2012","Ireland","Total","Percentage of active population","Total","14.7",""
"2012","Greece","Total","Percentage of total population","Total","14.5",""
"2012","Greece","Total","Percentage of active population","Total","24.5",""
"2012","Spain","Total","Percentage of total population","Total","16.5",""
"2012","Spain","Total","Percentage of active population","Total","24.8",""
"2012","France","Total","Percentage of total population","Total","5.9",""
"2012","France","Total","Percentage of active population","Total","9.8",""
"2012","Croatia","Total","Percentage of total population","Total","9.1",""
"2012","Croatia","Total","Percentage of active population","Total","16.0",""
"2012","Italy","Total","Percentage of total population","Total","5.9",""
"2012","Italy","Total","Percentage of active population","Total","10.7",""
"2012","Cyprus","Total","Percentage of total population","Total","8.0",""
"2012","Cyprus","Total","Percentage of active population","Total","11.9",""
"2012","Latvia","Total","Percentage of total population","Total","9.9",""
"2012","Latvia","Total","Percentage of active population","Total","15.0",""
"2012","Lithuania","Total","Percentage of total population","Total","8.6",""
"2012","Lithuania","Total","Percentage of active population","Total","13.4",""
"2012","Luxembourg","Total","Percentage of total population","Total","3.2",""
"2012","Luxembourg","Total","Percentage of active population","Total","5.1",""
"2012","Hungary","Total","Percentage of total population","Total","6.2",""
"2012","Hungary","Total","Percentage of active population","Total","11.0",""
"2012","Malta","Total","Percentage of total population","Total","3.5",""
"2012","Malta","Total","Percentage of active population","Total","6.3",""
"2012","Netherlands","Total","Percentage of total population","Total","4.1",""
"2012","Netherlands","Total","Percentage of active population","Total","5.8",""
"2012","Austria","Total","Percentage of total population","Total","3.2",""
"2012","Austria","Total","Percentage of active population","Total","4.9",""
"2012","Poland","Total","Percentage of total population","Total","6.1",""
"2012","Poland","Total","Percentage of active population","Total","10.1",""
"2012","Portugal","Total","Percentage of total population","Total","10.5",""
"2012","Portugal","Total","Percentage of active population","Total","15.8",""
"2012","Romania","Total","Percentage of total population","Total","4.1",""
"2012","Romania","Total","Percentage of active population","Total","6.8",""
"2012","Slovenia","Total","Percentage of total population","Total","5.6",""
"2012","Slovenia","Total","Percentage of active population","Total","8.9",""
"2012","Slovakia","Total","Percentage of total population","Total","8.8",""
"2012","Slovakia","Total","Percentage of active population","Total","14.0",""
"2012","Finland","Total","Percentage of total population","Total","5.1",""
"2012","Finland","Total","Percentage of active population","Total","7.7",""
"2012","Sweden","Total","Percentage of total population","Total","5.7",""
"2012","Sweden","Total","Percentage of active population","Total","8.0",""
"2012","United Kingdom","Total","Percentage of total population","Total","5.4",""
"2012","United Kingdom","Total","Percentage of active population","Total","7.9",""
"2012","Norway","Total","Percentage of total population","Total","2.2",""
"2012","Norway","Total","Percentage of active population","Total","3.2",""
"2013","Belgium","Total","Percentage of total population","Total","5.1",""
"2013","Belgium","Total","Percentage of active population","Total","8.4",""
"2013","Bulgaria","Total","Percentage of total population","Total","7.7",""
"2013","Bulgaria","Total","Percentage of active population","Total","13.0",""
"2013","Czech Republic","Total","Percentage of total population","Total","4.5",""
"2013","Czech Republic","Total","Percentage of active population","Total","7.0",""
"2013","Denmark","Total","Percentage of total population","Total","4.8",""
"2013","Denmark","Total","Percentage of active population","Total","7.0",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.6",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.2",""
"2013","Estonia","Total","Percentage of total population","Total","5.9",""
"2013","Estonia","Total","Percentage of active population","Total","8.6",""
"2013","Ireland","Total","Percentage of total population","Total","8.4",""
"2013","Ireland","Total","Percentage of active population","Total","13.1",""
"2013","Greece","Total","Percentage of total population","Total","16.3",""
"2013","Greece","Total","Percentage of active population","Total","27.5",""
"2013","Spain","Total","Percentage of total population","Total","17.3",""
"2013","Spain","Total","Percentage of active population","Total","26.1",""
"2013","France","Total","Percentage of total population","Total","6.2",""
"2013","France","Total","Percentage of active population","Total","10.3",""
"2013","Croatia","Total","Percentage of total population","Total","9.8",""
"2013","Croatia","Total","Percentage of active population","Total","17.3",""
"2013","Italy","Total","Percentage of total population","Total","6.7",""
"2013","Italy","Total","Percentage of active population","Total","12.1",""
"2013","Cyprus","Total","Percentage of total population","Total","10.7",""
"2013","Cyprus","Total","Percentage of active population","Total","15.9",""
"2013","Latvia","Total","Percentage of total population","Total","7.8",""
"2013","Latvia","Total","Percentage of active population","Total","11.9",""
"2013","Lithuania","Total","Percentage of total population","Total","7.6",""
"2013","Lithuania","Total","Percentage of active population","Total","11.8",""
"2013","Luxembourg","Total","Percentage of total population","Total","3.7",""
"2013","Luxembourg","Total","Percentage of active population","Total","5.9",""
"2013","Hungary","Total","Percentage of total population","Total","5.8",""
"2013","Hungary","Total","Percentage of active population","Total","10.2",""
"2013","Malta","Total","Percentage of total population","Total","3.7",""
"2013","Malta","Total","Percentage of active population","Total","6.4",""
"2013","Netherlands","Total","Percentage of total population","Total","5.1",""
"2013","Netherlands","Total","Percentage of active population","Total","7.3",""
"2013","Austria","Total","Percentage of total population","Total","3.6",""
"2013","Austria","Total","Percentage of active population","Total","5.4",""
"2013","Poland","Total","Percentage of total population","Total","6.3",""
"2013","Poland","Total","Percentage of active population","Total","10.3",""
"2013","Portugal","Total","Percentage of total population","Total","10.8",""
"2013","Portugal","Total","Percentage of active population","Total","16.4",""
"2013","Romania","Total","Percentage of total population","Total","4.2",""
"2013","Romania","Total","Percentage of active population","Total","7.1",""
"2013","Slovenia","Total","Percentage of total population","Total","6.4",""
"2013","Slovenia","Total","Percentage of active population","Total","10.1",""
"2013","Slovakia","Total","Percentage of total population","Total","9.0",""
"2013","Slovakia","Total","Percentage of active population","Total","14.2",""
"2013","Finland","Total","Percentage of total population","Total","5.4",""
"2013","Finland","Total","Percentage of active population","Total","8.2",""
"2013","Sweden","Total","Percentage of total population","Total","5.8",""
"2013","Sweden","Total","Percentage of active population","Total","8.0",""
"2013","United Kingdom","Total","Percentage of total population","Total","5.2",""
"2013","United Kingdom","Total","Percentage of active population","Total","7.6",""
"2013","Norway","Total","Percentage of total population","Total","2.4",""
"2013","Norway","Total","Percentage of active population","Total","3.5",""
"2014","Belgium","Total","Percentage of total population","Total","5.1",""
"2014","Belgium","Total","Percentage of active population","Total","8.5",""
"2014","Bulgaria","Total","Percentage of total population","Total","6.9",""
"2014","Bulgaria","Total","Percentage of active population","Total","11.4",""
"2014","Czech Republic","Total","Percentage of total population","Total","3.9",""
"2014","Czech Republic","Total","Percentage of active population","Total","6.1",""
"2014","Denmark","Total","Percentage of total population","Total","4.5",""
